Year,Avg Desert Max Temp,Avg Desert Min Temp,Desert Wind Speed,Desert Wind Direction,Desert Evapotrasnpiration
1945,89.37666666666668,65.47,14.916666666666666,135.4,8.351
1946,87.13000000000001,64.52,15.17,124.5,7.961333333333333
1947,88.62666666666668,67.62333333333333,16.666666666666668,132.96666666666667,7.8773333333333335
1948,89.18666666666667,68.45333333333333,13.246666666666666,121.8,7.400333333333333
1949,87.94666666666667,64.59666666666666,15.620000000000001,143.0,8.413666666666666
1950,91.27,67.87666666666667,13.97,138.13333333333333,7.831666666666666
1951,89.08333333333333,65.91666666666667,14.073333333333332,117.9,7.113666666666666
1952,91.24333333333334,66.59666666666666,13.223333333333333,141.96666666666667,7.871666666666667
1953,90.31333333333333,67.7,12.863333333333335,153.26666666666668,7.287333333333334
1954,87.39,63.38666666666666,15.18,112.06666666666666,7.774
1955,91.57666666666667,67.53,12.823333333333332,130.83333333333334,7.558999999999999
1956,89.46666666666667,65.02,14.78,106.26666666666667,7.897666666666667
1957,88.88666666666667,66.15,11.66,99.23333333333333,6.6033333333333335
1958,89.96000000000001,65.95,13.766666666666667,127.26666666666667,7.428
1959,92.04666666666667,66.92666666666666,12.916666666666666,230.36666666666667,7.951
1960,91.83,67.9,13.46,236.2,7.873666666666667
1961,88.47666666666667,65.30666666666667,13.843333333333334,270.0,7.630333333333334
1962,90.10333333333332,65.63333333333334,13.443333333333333,209.16666666666666,7.534000000000001
1963,91.31,67.83333333333333,15.043333333333333,171.4,7.407
1964,87.36999999999999,63.56666666666667,15.333333333333334,202.2,7.33
1965,89.71333333333334,66.63333333333334,12.773333333333333,178.8,7.054
1966,89.98,65.8,13.19,175.9,7.289
1967,90.69666666666667,66.73333333333333,11.806666666666667,195.66666666666666,7.020666666666667
1968,91.64,69.30333333333333,12.603333333333333,247.9,7.548333333333333
1969,93.49333333333334,68.81666666666666,13.983333333333333,249.0,8.309000000000001
1970,89.31666666666666,66.83666666666666,13.5,251.86666666666667,7.5806666666666676
1971,87.97,66.27,12.826666666666666,120.43333333333334,6.437333333333333
1972,91.36,67.69666666666667,13.196666666666665,179.0,7.2909999999999995
1973,90.31333333333333,68.01666666666667,14.106666666666666,227.73333333333332,7.570666666666667
1974,88.86,66.46333333333334,14.54,190.3,7.434
1975,88.33666666666666,66.93,18.833333333333332,197.96666666666667,8.681000000000001
1976,90.69,67.08333333333333,11.806666666666667,232.63333333333333,7.393666666666666
1977,90.06333333333333,67.52,12.393333333333334,178.8,6.934333333333333
1978,87.83999999999999,67.0,14.21,182.0,6.917666666666666
1979,91.03,68.99666666666667,14.266666666666667,137.2,7.591666666666667
1980,89.39,66.76666666666667,14.116666666666667,110.26666666666667,7.390333333333333
1981,90.57333333333332,65.59333333333333,13.996666666666666,106.2,8.166666666666666
1982,91.01,66.41,11.826666666666666,134.2,7.482333333333333
1983,91.13666666666667,67.59,13.586666666666668,130.2,7.791333333333333
1984,89.55666666666666,65.86999999999999,13.2,106.36666666666666,7.483666666666666
1985,88.69666666666667,67.16333333333334,14.943333333333333,114.93333333333334,7.637666666666666
1986,89.73,66.45,14.389999999999999,139.03333333333333,7.3196666666666665
1987,89.61999999999999,67.58,15.74,114.7,7.688666666666666
1988,91.28333333333333,68.48666666666666,14.85,142.5,7.833
1989,91.74333333333334,67.51666666666667,14.156666666666666,124.96666666666667,7.922333333333333
1990,89.65666666666667,67.1,18.063333333333333,102.26666666666667,8.811333333333332
1991,91.45666666666666,69.58666666666666,15.606666666666667,145.8,8.138
1992,87.94666666666667,65.57666666666667,15.783333333333333,126.63333333333334,7.822333333333334
1993,93.42666666666668,69.48,12.21,126.33333333333333,7.685666666666666
1994,89.25333333333333,68.73,12.763333333333332,132.63333333333333,6.738333333333333
