time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),wind_speed_10m_max (mp/h),wind_direction_10m_dominant (°),et0_fao_evapotranspiration (mm)
1945-01-01,1,56.2,31.8,11.6,340,3.76
1945-01-02,0,54.5,31.1,15.5,334,4.15
1945-01-03,0,53.6,27.9,12.9,354,3.77
1945-01-04,0,52.3,23.7,10.8,71,3.34
1945-01-05,0,51.5,24.5,14.1,106,3.76
1945-01-06,2,52.9,30.2,13.0,231,3.13
1945-01-07,1,56.8,31.7,13.7,306,3.93
1945-01-08,1,58.7,30.2,11.3,43,4.02
1945-01-09,0,58.0,28.4,11.0,93,4.17
1945-01-10,0,57.5,33.1,16.6,311,4.33
1945-01-11,0,61.7,35.0,10.6,2,4.22
1945-01-12,0,60.1,36.4,13.3,125,4.66
1945-01-13,1,66.6,44.5,12.3,198,4.45
1945-01-14,1,74.7,47.1,12.4,97,5.56
1945-01-15,0,73.3,52.6,15.4,115,6.31
1945-01-16,0,73.4,50.7,13.9,126,5.61
1945-01-17,1,73.8,51.7,14.2,217,5.11
1945-01-18,1,72.8,52.3,18.7,258,5.47
1945-01-19,1,69.7,48.0,17.7,325,5.65
1945-01-20,1,68.8,44.8,12.0,94,4.81
1945-01-21,1,68.8,40.9,11.0,280,4.76
1945-01-22,1,70.7,43.6,13.5,336,5.67
1945-01-23,1,66.9,46.0,12.6,122,5.27
1945-01-24,1,66.9,40.6,11.5,316,4.71
1945-01-25,1,65.6,38.5,9.8,109,4.90
1945-01-26,1,68.4,42.7,10.9,108,4.73
1945-01-27,1,68.5,42.1,14.3,328,5.25
1945-01-28,1,68.9,43.3,9.7,77,4.95
1945-01-29,0,67.6,43.7,12.9,305,5.16
1945-01-30,1,67.4,37.6,11.9,77,4.97
1945-01-31,0,65.5,41.2,16.6,92,5.09
1945-02-01,0,65.8,35.5,10.9,84,4.83
1945-02-02,1,64.1,38.7,14.1,80,4.92
1945-02-03,1,65.4,40.1,10.8,69,4.27
1945-02-04,1,68.7,39.7,8.4,17,4.68
1945-02-05,1,67.9,38.9,16.3,65,5.06
1945-02-06,1,63.1,36.0,15.0,77,4.87
1945-02-07,0,68.8,34.6,9.6,84,4.70
1945-02-08,0,68.2,37.7,9.3,97,4.53
1945-02-09,1,67.4,41.8,13.4,89,4.70
1945-02-10,1,64.5,38.9,12.7,86,4.46
1945-02-11,1,66.8,36.8,9.2,88,4.54
1945-02-12,0,67.8,38.4,10.9,90,5.35
1945-02-13,0,68.8,39.8,10.1,88,5.44
1945-02-14,0,69.8,40.5,10.6,78,5.05
1945-02-15,0,69.3,39.6,10.7,42,5.19
1945-02-16,0,68.9,41.0,11.2,327,5.23
1945-02-17,0,67.6,39.7,9.0,139,5.08
1945-02-18,2,67.5,39.9,10.2,93,4.98
1945-02-19,2,68.5,44.6,11.5,87,5.28
1945-02-20,1,70.8,40.1,12.5,349,5.85
1945-02-21,1,67.2,43.0,14.4,97,5.81
1945-02-22,3,61.4,41.4,16.9,102,5.09
1945-02-23,3,64.7,40.1,15.7,104,5.50
1945-02-24,3,65.8,48.1,13.2,109,5.18
1945-02-25,3,65.7,45.5,16.5,104,5.56
1945-02-26,0,63.9,41.9,17.4,331,5.52
1945-02-27,0,64.0,39.8,14.3,77,5.00
1945-02-28,0,63.5,39.6,19.7,79,5.45
1945-03-01,1,61.4,39.7,20.1,61,4.89
1945-03-02,0,63.0,38.2,15.4,63,4.91
1945-03-03,0,65.5,38.1,13.2,336,5.37
1945-03-04,0,64.4,40.9,13.5,104,5.05
1945-03-05,0,63.5,39.2,13.9,120,4.91
1945-03-06,0,66.9,37.4,10.1,330,5.16
1945-03-07,0,66.6,38.7,12.2,76,5.15
1945-03-08,0,67.5,39.9,11.0,281,5.56
1945-03-09,0,66.3,38.1,9.3,141,5.50
1945-03-10,0,66.1,41.7,12.0,113,5.41
1945-03-11,0,65.7,43.2,20.8,87,5.95
1945-03-12,1,66.5,42.0,17.8,83,6.41
1945-03-13,0,66.4,40.7,15.3,82,6.15
1945-03-14,0,69.0,40.1,13.4,84,6.09
1945-03-15,0,68.9,40.9,12.3,84,5.79
1945-03-16,0,70.7,41.2,11.3,80,5.71
1945-03-17,0,72.1,42.2,12.4,87,6.46
1945-03-18,51,71.1,48.4,16.2,81,6.42
1945-03-19,3,74.5,53.3,13.5,87,6.31
1945-03-20,2,75.2,54.6,16.8,96,7.83
1945-03-21,1,74.5,53.0,20.9,96,8.56
1945-03-22,2,75.8,52.2,17.7,98,8.51
1945-03-23,3,73.5,54.1,19.5,100,7.92
1945-03-24,2,75.7,52.8,15.8,103,7.50
1945-03-25,1,77.0,50.1,11.0,109,7.17
1945-03-26,1,75.7,50.3,12.9,120,7.24
1945-03-27,1,76.4,50.9,12.1,102,7.04
1945-03-28,1,76.7,49.5,12.2,54,6.95
1945-03-29,1,77.5,51.8,15.9,331,7.94
1945-03-30,0,75.8,50.6,14.8,97,7.19
1945-03-31,0,75.0,49.2,14.9,85,6.68
1945-04-01,1,73.6,47.3,15.5,90,6.14
1945-04-02,1,72.8,48.8,18.5,87,6.24
1945-04-03,0,73.1,49.8,17.0,95,6.69
1945-04-04,0,72.9,46.2,13.2,106,6.68
1945-04-05,0,75.5,47.2,8.8,108,6.50
1945-04-06,0,77.6,48.5,9.2,98,6.74
1945-04-07,1,78.2,50.9,9.4,106,6.66
1945-04-08,0,79.9,50.1,8.2,250,6.50
1945-04-09,0,81.6,52.5,10.7,307,7.03
1945-04-10,0,82.8,54.6,9.6,121,7.80
1945-04-11,1,83.4,55.9,13.9,80,7.44
1945-04-12,1,85.2,55.7,11.4,69,7.51
1945-04-13,0,81.9,57.5,13.2,109,7.67
1945-04-14,0,79.7,53.2,11.9,104,7.88
1945-04-15,2,81.2,52.1,11.9,173,7.77
1945-04-16,1,83.1,57.7,14.5,255,7.67
1945-04-17,1,84.9,58.4,14.7,181,7.83
1945-04-18,1,83.0,61.1,21.4,122,8.86
