Year,Avg Ocean Max Temp,Avg Ocean Min Temp ,Ocean Wind Speed,Ocean Wind Direction,Ocean Evapotrasnpiration
1945,65.64666666666668,53.419999999999995,11.696666666666665,194.9,2.839
1946,61.25,50.14666666666667,11.866666666666667,225.2,2.5113333333333334
1947,62.13,50.49,11.84,185.33333333333334,2.67
1948,60.4,48.75,12.526666666666667,233.3,2.6550000000000002
1949,63.376666666666665,51.97666666666667,12.99,220.7,2.7663333333333333
1950,60.1,54.79333333333333,12.076666666666666,243.43333333333334,2.5300000000000002
1951,58.6,52.69666666666667,12.416666666666666,246.2,2.626333333333333
1952,60.056666666666665,54.723333333333336,11.129999999999999,232.43333333333334,2.2256666666666667
1953,60.61333333333334,54.93333333333333,12.873333333333333,208.3,2.6933333333333334
1954,59.61666666666667,53.55,11.386666666666667,224.36666666666667,2.7026666666666666
1955,58.04333333333333,52.480000000000004,12.176666666666668,205.73333333333332,2.68
1956,60.15,54.416666666666664,12.06,228.2,2.6286666666666667
1957,59.763333333333335,54.29,12.16,218.73333333333332,2.707333333333333
1958,59.88666666666666,54.67333333333333,12.146666666666667,221.8,2.6903333333333332
1959,60.68,55.483333333333334,11.09,260.46666666666664,2.8733333333333335
1960,62.03,56.07333333333334,13.833333333333334,244.86666666666667,2.816666666666667
1961,59.99,54.986666666666665,13.793333333333333,193.4,2.6813333333333333
1962,60.983333333333334,55.63,12.863333333333333,202.0,2.663
1963,61.223333333333336,55.57,12.093333333333334,199.16666666666666,2.5193333333333334
1964,58.14,52.88,11.84,224.46666666666667,2.6446666666666667
1965,60.580000000000005,55.193333333333335,12.07,238.03333333333333,2.6486666666666663
1966,60.940000000000005,54.89333333333333,12.293333333333333,230.46666666666667,2.656
1967,60.64,55.11,13.136666666666667,245.46666666666667,2.7766666666666664
1968,60.38333333333333,54.46333333333334,9.766666666666667,251.96666666666667,2.758
1969,59.02333333333333,52.919999999999995,12.57,235.16666666666666,2.7449999999999997
1970,59.1,53.89,11.306666666666667,205.76666666666668,2.617
1971,58.236666666666665,52.43333333333333,10.273333333333333,231.83333333333334,2.6646666666666667
1972,60.55333333333333,54.46666666666667,10.566666666666666,223.16666666666666,2.6566666666666667
1973,58.53333333333333,52.980000000000004,12.666666666666666,203.3,2.7126666666666663
1974,58.71333333333334,53.15,11.716666666666667,216.1,2.6083333333333334
1975,60.873333333333335,55.833333333333336,13.253333333333334,273.6333333333333,2.6736666666666666
1976,59.71666666666667,54.60333333333333,11.303333333333335,235.46666666666667,2.435
1977,60.34,55.80333333333333,12.966666666666667,211.43333333333334,2.5319999999999996
