Year,Named Storms,Hurricanes,MajorHurricanes,Avg Ocean Max Temp,Avg Ocean Min Temp,Ocean Wind Speed,Ocean Wind Direction,Ocean Evapotrasnpiration,Avg Desert Max Temp,Avg Desert Min Temp,Desert Wind Speed,Desert Wind Direction,Desert Evapotrasnpiration
1945,11,5,2,65.64666667,53.42,11.69666667,194.9,2.839,89.37666667,65.47,14.91666667,135.4,8.351
1946,6,3,1,61.25,50.14666667,11.86666667,225.2,2.511333333,87.13,64.52,15.17,124.5,7.961333333
1947,9,5,2,62.13,50.49,11.84,185.3333333,2.67,88.62666667,67.62333333,16.66666667,132.9666667,7.877333333
1948,9,6,4,60.4,48.75,12.52666667,233.3,2.655,89.18666667,68.45333333,13.24666667,121.8,7.400333333
1949,13,7,3,63.37666667,51.97666667,12.99,220.7,2.766333333,87.94666667,64.59666667,15.62,143,8.413666667
1950,13,11,8,60.1,54.79333333,12.07666667,243.4333333,2.53,91.27,67.87666667,13.97,138.1333333,7.831666667
1951,10,8,5,58.6,52.69666667,12.41666667,246.2,2.626333333,89.08333333,65.91666667,14.07333333,117.9,7.113666667
1952,7,6,3,60.05666667,54.72333333,11.13,232.4333333,2.225666667,91.24333333,66.59666667,13.22333333,141.9666667,7.871666667
1953,14,6,4,60.61333333,54.93333333,12.87333333,208.3,2.693333333,90.31333333,67.7,12.86333333,153.2666667,7.287333333
1954,11,8,2,59.61666667,53.55,11.38666667,224.3666667,2.702666667,87.39,63.38666667,15.18,112.0666667,7.774
1955,12,9,6,58.04333333,52.48,12.17666667,205.7333333,2.68,91.57666667,67.53,12.82333333,130.8333333,7.559
1956,8,4,2,60.15,54.41666667,12.06,228.2,2.628666667,89.46666667,65.02,14.78,106.2666667,7.897666667
1957,8,3,2,59.76333333,54.29,12.16,218.7333333,2.707333333,88.88666667,66.15,11.66,99.23333333,6.603333333
1958,10,7,5,59.88666667,54.67333333,12.14666667,221.8,2.690333333,89.96,65.95,13.76666667,127.2666667,7.428
1959,11,7,2,60.68,55.48333333,11.09,260.4666667,2.873333333,92.04666667,66.92666667,12.91666667,230.3666667,7.951
1960,7,4,2,62.03,56.07333333,13.83333333,244.8666667,2.816666667,91.83,67.9,13.46,236.2,7.873666667
1961,11,8,7,59.99,54.98666667,13.79333333,193.4,2.681333333,88.47666667,65.30666667,13.84333333,270,7.630333333
1962,5,3,1,60.98333333,55.63,12.86333333,202,2.663,90.10333333,65.63333333,13.44333333,209.1666667,7.534
1963,9,7,2,61.22333333,55.57,12.09333333,199.1666667,2.519333333,91.31,67.83333333,15.04333333,171.4,7.407
1964,12,6,6,58.14,52.88,11.84,224.4666667,2.644666667,87.37,63.56666667,15.33333333,202.2,7.33
1965,6,4,1,60.58,55.19333333,12.07,238.0333333,2.648666667,89.71333333,66.63333333,12.77333333,178.8,7.054
1966,11,7,3,60.94,54.89333333,12.29333333,230.4666667,2.656,89.98,65.8,13.19,175.9,7.289
1967,8,6,1,60.64,55.11,13.13666667,245.4666667,2.776666667,90.69666667,66.73333333,11.80666667,195.6666667,7.020666667
1968,8,4,0,60.38333333,54.46333333,9.766666667,251.9666667,2.758,91.64,69.30333333,12.60333333,247.9,7.548333333
1969,18,12,5,59.02333333,52.92,12.57,235.1666667,2.745,93.49333333,68.81666667,13.98333333,249,8.309
1970,10,5,2,59.1,53.89,11.30666667,205.7666667,2.617,89.31666667,66.83666667,13.5,251.8666667,7.580666667
1971,13,6,1,58.23666667,52.43333333,10.27333333,231.8333333,2.664666667,87.97,66.27,12.82666667,120.4333333,6.437333333
1972,7,3,0,60.55333333,54.46666667,10.56666667,223.1666667,2.656666667,91.36,67.69666667,13.19666667,179,7.291
1973,8,4,1,58.53333333,52.98,12.66666667,203.3,2.712666667,90.31333333,68.01666667,14.10666667,227.7333333,7.570666667
1974,11,4,2,58.71333333,53.15,11.71666667,216.1,2.608333333,88.86,66.46333333,14.54,190.3,7.434
1975,9,6,3,60.87333333,55.83333333,13.25333333,273.6333333,2.673666667,88.33666667,66.93,18.83333333,197.9666667,8.681
1976,10,6,2,59.71666667,54.60333333,11.30333333,235.4666667,2.435,90.69,67.08333333,11.80666667,232.6333333,7.393666667
1977,6,5,1,60.34,55.80333333,12.96666667,211.4333333,2.532,90.06333333,67.52,12.39333333,178.8,6.934333333
1978,12,5,2,58.62,54.12333333,10.85333333,236.0666667,2.636333333,87.84,67,14.21,182,6.917666667
1979,9,5,2,59.31,53.55666667,13.97,215.7,2.824,91.03,68.99666667,14.26666667,137.2,7.591666667
1980,11,9,2,61.39333333,55.07666667,11.69333333,194.5333333,2.974333333,89.39,66.76666667,14.11666667,110.2666667,7.390333333
1981,12,7,3,59.83333333,53.72,12.95666667,212.3666667,2.815,90.57333333,65.59333333,13.99666667,106.2,8.166666667
1982,6,2,1,61.26666667,55.95666667,13.41,169.7333333,2.789666667,91.01,66.41,11.82666667,134.2,7.482333333
1983,4,3,1,58.79,53.82666667,14.05,268.9666667,2.420666667,91.13666667,67.59,13.58666667,130.2,7.791333333
1984,13,5,1,60.13666667,55.12333333,12.97666667,249.8666667,2.570666667,89.55666667,65.87,13.2,106.3666667,7.483666667
1985,11,7,3,61.07,55.69666667,12.61333333,236.8666667,2.804666667,88.69666667,67.16333333,14.94333333,114.9333333,7.637666667
1986,6,4,0,62.10333333,56.60666667,11.31333333,206.8666667,2.885333333,89.73,66.45,14.39,139.0333333,7.319666667
